Species	Status	min_age	max_age
Grallator tenuis	extinct	201.4	237
Eubrontes sillimani	extinct	201.4	237
Coelophysis bauri	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Smilosuchus adamanensis	extinct	205.7	227.3
Krzyzanowskisaurus hunti	extinct	205.7	227.3
Calyptosuchus wellesi	extinct	205.7	227.3
Scutarx deltatylus	extinct	205.7	227.3
Acaenasuchus geoffreyi	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Coelophysis bauri	extinct	205.7	227.3
Coelophysis bauri	extinct	205.7	227.3
Herrerasaurus ischigualastensis	extinct	227.3	237
Herrerasaurus ischigualastensis	extinct	227.3	237
Herrerasaurus ischigualastensis	extinct	227.3	237
Herrerasaurus ischigualastensis	extinct	227.3	237
Herrerasaurus ischigualastensis	extinct	227.3	237
Herrerasaurus ischigualastensis	extinct	227.3	237
Trialestes romeri	extinct	227.3	237
Herrerasaurus ischigualastensis	extinct	227.3	237
Revueltosaurus callenderi	extinct	205.7	227.3
Vancleavea campi	extinct	201.4	205.7
Whitakersaurus bermani	extinct	201.4	205.7
Hesperosuchus agilis	extinct	201.4	205.7
Eucoelophysis baldwini	extinct	205.7	227.3
Grallator tuberosus	extinct	205.7	227.3
Coelophysis bauri	extinct	205.7	227.3
Coelophysis bauri	extinct	205.7	227.3
Coelurosaurichnus grancieri	extinct	227.3	237
Asylosaurus yalensis	extinct	201.4	205.7
Grallator tuberosus	extinct	205.7	227.3
Grallator tuberosus	extinct	205.7	227.3
Grallator tuberosus	extinct	205.7	227.3
Grallator tuberosus	extinct	205.7	227.3
Grallator tuberosus	extinct	205.7	227.3
Brachychirotherium eyermani	extinct	205.7	227.3
Kintneria brunswickii	extinct	205.7	227.3
Rhynchosauroides hyperbates	extinct	205.7	227.3
Brachychirotherium eyermani	extinct	205.7	227.3
Grallator tuberosus	extinct	205.7	227.3
Brachychirotherium parvum	extinct	227.3	237
Grallator tenuis	extinct	227.3	237
Grallator tuberosus	extinct	227.3	237
Eubrontes sillimani	extinct	205.7	227.3
Grallator tuberosus	extinct	205.7	227.3
Sacisaurus agudoensis	extinct	205.7	227.3
Guaibasaurus candelariensis	extinct	205.7	227.3
Kintneria brunswickii	extinct	205.7	227.3
Brachychirotherium parvum	extinct	205.7	227.3
Brachychirotherium eyermani	extinct	205.7	227.3
Apatopus lineatus	extinct	205.7	227.3
Kintneria brunswickii	extinct	205.7	227.3
Grallator tuberosus	extinct	205.7	227.3
Grallator tuberosus	extinct	205.7	227.3
Apatopus lineatus	extinct	227.3	237
Kholumolumo ellenbergerorum	extinct	205.7	227.3
Grallator socialis	extinct	201.4	227.3
Trisauropodiscus aviforma	extinct	201.4	227.3
Comptichnus moorosi	extinct	201.4	227.3
Pseudotetrasauropus bipedoida	extinct	205.7	227.3
Lessemsaurus sauropoides	extinct	205.7	227.3
Saturnalia tupiniquim	extinct	205.7	237
Alwalkeria maleriensis	extinct	227.3	237
Apatopus lineatus	extinct	201.4	205.7
Tecovasaurus murryi	extinct	205.7	227.3
Tecovasaurus murryi	extinct	205.7	227.3
Lucianosaurus wildi	extinct	205.7	227.3
Postosuchus kirkpatricki	extinct	205.7	227.3
Vancleavea campi	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Revueltosaurus callenderi	extinct	205.7	227.3
Rhynchosauroides hyperbates	extinct	205.7	227.3
Apatopus lineatus	extinct	205.7	227.3
Brachychirotherium eyermani	extinct	205.7	227.3
Rhombopholis scutulata	extinct	241.464	246.7
Bromsgroveia walkeri	extinct	241.464	246.7
Bromsgroveia walkeri	extinct	241.464	246.7
Leptopleuron lacertinum	extinct	205.7	237
Brachyrhinodon taylori	extinct	205.7	237
Hyperodapedon gordoni	extinct	205.7	237
Stagonolepis robertsoni	extinct	205.7	237
Ornithosuchus woodwardi	extinct	205.7	237
Erpetosuchus granti	extinct	205.7	237
Scleromochlus taylori	extinct	205.7	237
Saltopus elginensis	extinct	205.7	237
Anchisauripus thomasi	extinct	201.4	237
Thecodontosaurus antiquus	extinct	227.3	237
Effigia okeeffeae	extinct	201.4	205.7
Riojasaurus incertus	extinct	205.7	227.3
Langeronyx brodiei	extinct	241.464	246.7
Azendohsaurus laaroussii	extinct	227.3	237
Parasuchus magnoculus	extinct	227.3	237
Arganasuchus dutuiti	extinct	227.3	237
Technosaurus smalli	extinct	205.7	227.3
Protoavis texensis	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Calyptosuchus wellesi	extinct	205.7	227.3
Meroktenos thabanensis	extinct	201.4	227.3
Protecovasaurus lucasi	extinct	205.7	237
Trilophosaurus buettneri	extinct	205.7	227.3
Crosbysaurus harrisae	extinct	205.7	227.3
Poposaurus gracilis	extinct	205.7	227.3
Trilophosaurus jacobsi	extinct	205.7	227.3
Crosbysaurus harrisae	extinct	205.7	227.3
Crosbysaurus harrisae	extinct	205.7	227.3
Planocephalosaurus lucasi	extinct	205.7	227.3
Fraserosphenodon latidens	extinct	205.7	227.3
Trilophosaurus jacobsi	extinct	205.7	227.3
Protecovasaurus lucasi	extinct	205.7	227.3
Crosbysaurus harrisae	extinct	205.7	227.3
Paleollanosaurus fraseri	extinct	205.7	227.3
Protecovasaurus lucasi	extinct	205.7	227.3
Protecovasaurus lucasi	extinct	205.7	227.3
Crosbysaurus harrisae	extinct	205.7	227.3
Crosbysaurus harrisae	extinct	205.7	227.3
Gracilisuchus stipanicicorum	extinct	237	241.464
Luperosuchus fractus	extinct	237	241.464
Lagerpeton chanarensis	extinct	237	241.464
Chanaresuchus bonapartei	extinct	237	241.464
Gualosuchus reigi	extinct	237	241.464
Pengxianpus cifengensis	extinct	201.4	205.7
Stagonolepis olenkae	extinct	205.7	237
Stagonolepis olenkae	extinct	227.3	233.6
Silesaurus opolensis	extinct	227.3	233.6
Polonosuchus silesiacus	extinct	205.7	237
Silesaurus opolensis	extinct	205.7	237
