occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,within_range,Status
1419101,occ,,,103987,Placodus inexpectatus,species,377228,Pelsonian,,244.24,243.33,33005,YES,extinct
1419102,occ,,,119443,Glyphoderma kangi,species,377230,Ladinian,,241.464,237,66906,YES,extinct
1419116,occ,,,149381,Phalarodon fraasi,species,258578,Spathian,,248.1,246.7,66911,YES,extinct
1419118,occ,,,105083,Phalarodon nordenskioeldii,species,172832,Smithian,,249.9,248.1,66910,YES,extinct
1419119,occ,,,152277,Phalarodon nordenskioeldii,species,172832,Smithian,,249.9,248.1,66910,YES,extinct
1419120,occ,,,152278,Phalarodon nordenskioeldii,species,172832,Anisian,Ladinian,246.7,237,66910,YES,extinct
1419121,occ,,,196670,Phalarodon major,species,172918,Anisian,,246.7,241.464,34243,YES,extinct
1419160,occ,,,98011,Phalarodon callawayi,species,258580,Illyrian,,243.33,241.464,66919,YES,extinct
1419161,occ,,,138136,Pistosaurus longaevus,species,95790,Anisian,,246.7,241.464,66920,YES,extinct
1419162,occ,,,138101,Pistosaurus longaevus,species,95790,Ladinian,,241.464,237,66920,YES,extinct
1419163,occ,,,196691,Pistosaurus longaevus,species,95790,Illyrian,Fassanian,243.33,239.48,66920,YES,extinct
1419164,occ,,,138137,Pistosaurus longaevus,species,95790,Ladinian,,241.464,237,66920,YES,extinct
1419165,occ,,,149685,Pistosaurus longaevus,species,95790,Fassanian,,241.464,239.48,66920,YES,extinct
1419207,occ,,,195671,Psephoderma alpinum,species,56516,Rhaetian,,205.7,201.4,66945,YES,extinct
1419208,occ,,,38121,Psephoderma alpinum,species,56516,Rhaetian,,205.7,201.4,66946,YES,extinct
1419209,occ,,,196711,Psephoderma sculptata,species,377325,Illyrian,Fassanian,243.33,239.48,66946,YES,extinct
1419211,occ,,,149344,Psephosauriscus ramonensis,species,377327,Illyrian,,243.33,241.464,66946,YES,extinct
1419212,occ,,,149344,Psephosauriscus sinaiticus,species,377323,Illyrian,,243.33,241.464,66946,YES,extinct
1419213,occ,,,122363,Psephoderma anglicum,species,377324,Rhaetian,,205.7,201.4,66946,YES,extinct
1419214,occ,,,106352,Horaffia kugleri,species,377330,Longobardian,,239.48,237,66947,YES,extinct
1419215,occ,,,138084,Horaffia kugleri,species,377330,Ladinian,,241.464,237,66947,YES,extinct
1419216,occ,,,101875,Horaffia kugleri,species,377330,Longobardian,,239.48,237,66947,YES,extinct
1419217,occ,,,196712,Horaffia kugleri,species,377330,Longobardian,,239.48,237,66947,YES,extinct
1419240,occ,,IF,196719,Rotodactylus bessieri,species,334328,Illyrian,,243.33,241.464,66959,YES,extinct
1419251,occ,,IF,196721,Protochirotherium wolfhagense,species,377378,Smithian,,249.9,248.1,35001,YES,extinct
1419303,occ,37705,,196738,Erythrovenator jacuiensis,species,430204,Carnian,,237,227.3,74704,YES,extinct
1419309,occ,,,196743,Serpianosaurus germanicus,species,377481,Pelsonian,,244.24,243.33,66990,YES,extinct
1419468,occ,,,196798,Shastasaurus pacificus,species,149927,Carnian,,237,227.3,67017,YES,extinct
1419470,occ,,,190855,Shastasaurus pacificus,species,149927,Carnian,,237,227.3,34773,YES,extinct
1419471,occ,,,196800,Grippia longirostris,species,170764,Spathian,,248.1,246.7,67019,YES,extinct
1419474,occ,,,196801,Thaisaurus chonglakmanii,species,170756,Spathian,,248.1,246.7,67019,YES,extinct
1419476,occ,,,196798,Californosaurus perrini,species,170861,Carnian,,237,227.3,64104,YES,extinct
1419478,occ,,,196803,Shastasaurus careyi,species,149930,Carnian,Norian,237,205.7,67019,YES,extinct
1419483,occ,,,196805,Pessopteryx nisseri,species,170853,Anisian,,246.7,241.464,67022,YES,extinct
1419511,occ,,,196812,Simosaurus gaillardoti,species,95793,Julian,,237,233.6,67030,YES,extinct
1419512,occ,,,196813,Protenodontosaurus italicus,species,255020,Julian,,237,233.6,67030,YES,extinct
1419513,occ,,,196814,Paludidraco multidentatus,species,377632,Carnian,Norian,237,205.7,67032,YES,extinct
1419518,occ,,F,196816,Chirotherium ladinicus,species,377634,Illyrian,,243.33,241.464,67034,YES,extinct
1419519,occ,,I,154341,Brachychirotherium parvum,species,64090,Illyrian,,243.33,241.464,67034,YES,extinct
1419520,occ,,IF,154341,Chirotherium rex,species,93707,Illyrian,,243.33,241.464,67034,YES,extinct
1419527,occ,,IF,196817,Chirotherium barthii,species,85727,Middle Triassic,,246.7,237,67035,YES,extinct
1419528,occ,,IF,196818,Chirotherium barthii,species,85727,Middle Triassic,,246.7,237,67035,YES,extinct
1419529,occ,,,94493,Spinosuchus caseanus,species,65106,Norian,,227.3,205.7,67036,YES,extinct
1419692,occ,,,196861,Tanystropheus biharicus,species,377675,Anisian,,246.7,241.464,67051,YES,extinct
1419785,occ,,,196866,Sclerostropheus fossai,species,372800,Norian,,227.3,205.7,67054,YES,extinct
1419794,occ,,,86841,Ceresiosaurus lanzi,species,377735,Ladinian,,241.464,237,59995,YES,extinct
1419795,occ,,,86841,Tanystropheus meridensis,species,372799,Ladinian,,241.464,237,59995,YES,extinct
1419840,occ,,,117188,Teratosaurus bengalensis,species,57750,Induan,Smithian,251.902,248.1,10723,YES,extinct
1419968,occ,,F,196926,Sukhonopus primus,species,377760,Tatarian,,266.9,256.8,67077,YES,extinct
1420037,occ,,,196956,Tholodus schmidi,species,263041,Pelsonian,Illyrian,244.24,241.464,67086,YES,extinct
1420109,occ,,,120222,Quasianosteosaurus vikinghoegdai,species,172841,Spathian,,248.1,246.7,34246,YES,extinct
1420149,occ,,,196984,Parvinatator wapitiensis,species,170762,Spathian,Ladinian,248.1,237,33848,YES,extinct
1420150,occ,,,196985,Isfjordosaurus minor,species,170759,Spathian,,248.1,246.7,33848,YES,extinct
1420151,occ,,,196986,Merriamosaurus hulkei,species,172835,Spathian,,248.1,246.7,34244,YES,extinct
1420184,occ,,,196985,Pessopteryx nisseri,species,170853,Spathian,,248.1,246.7,45740,YES,extinct
1420940,occ,,IF,197201,Dimetropus leisnerianus,species,378412,Rotliegendes,,283.3,259.51,67200,YES,extinct
1420943,occ,,IF,197201,Dromopus lacertoides,species,347232,Rotliegendes,,283.3,259.51,67200,YES,extinct
1421009,occ,,F,197230,Rhynchosauroides kuletae,species,378361,Induan,Olenekian,251.902,246.7,67210,YES,extinct
1421010,occ,,F,197231,Rhynchosauroides kuletae,species,378361,Induan,Olenekian,251.902,246.7,67210,YES,extinct
1421011,occ,,F,197230,Palmichnus lacertoides,species,378362,Induan,Olenekian,251.902,246.7,67210,YES,extinct
1421012,occ,,F,197230,Paradoxichnium tumlinense,species,378364,Induan,Olenekian,251.902,246.7,67210,YES,extinct
1421013,occ,,F,197230,Phalangichnus gradzinskii,species,378365,Induan,Olenekian,251.902,246.7,67210,YES,extinct
1421014,occ,,F,197230,Phalangichnus gagoli,species,378366,Induan,Olenekian,251.902,246.7,67210,YES,extinct
1421395,occ,,I,197296,Rhynchosauroides rectipes,species,64097,Anisian,,246.7,241.464,67271,YES,extinct
1421396,occ,,,188750,Rhynchosauroides pallinii,species,378360,Lopingian,,259.51,251.902,67271,YES,extinct
1421397,occ,,,188750,Rhynchosauroides pallinii,species,378360,Lopingian,,259.51,251.902,67271,YES,extinct
1421400,occ,,IF,188750,Pachypes dolomiticus,species,378513,Lopingian,,259.51,251.902,67271,YES,extinct
1421402,occ,,IF,188750,Procolophonichnium tirolensis,species,378517,Lopingian,,259.51,251.902,67271,YES,extinct
1421403,occ,,IF,188750,Procolophonichnium tirolensis,species,378517,Lopingian,,259.51,251.902,67271,YES,extinct
1421405,occ,,IF,188750,Procolophonichnium tirolensis,species,378517,Lopingian,,259.51,251.902,67271,YES,extinct
1421423,occ,,IF,197299,Rhynchosauroides gangresci,species,378520,Lopingian,,259.51,251.902,67273,YES,extinct
1421436,occ,,IF,197307,Hyloidichnus bifurcatus,species,378537,Wuchiapingian,Changhsingian,259.51,251.902,67277,YES,extinct
1421437,occ,,IF,197306,Hyloidichnus bifurcatus,species,378537,Wuchiapingian,Changhsingian,259.51,251.902,67277,YES,extinct
1421464,occ,,IF,197319,Dromopus palmatus,species,378551,Kungurian,,283.3,274.4,67284,YES,extinct
1421516,occ,,IF,197337,Isochirotherium herculis,species,346991,Triassic,,251.902,201.4,67298,YES,extinct
1421517,occ,,IF,164930,Isochirotherium lomasi,species,247256,Early Triassic,,251.902,246.7,67298,YES,extinct
1421518,occ,,,174686,Rhynchosauroides articeps,species,95808,Late Triassic,,237,201.4,67298,YES,extinct
1421519,occ,,I,174686,Rhynchosauroides rectipes,species,64097,Late Triassic,,237,201.4,67298,YES,extinct
1421520,occ,,IF,164930,Rotodactylus tumidus,species,378582,Early Triassic,,251.902,246.7,67298,YES,extinct
1421522,occ,,IF,174686,Rotodactylus tumidus,species,378582,Late Triassic,,237,201.4,67298,YES,extinct
1421523,occ,,I,174686,Rhynchosauroides rectipes,species,64097,Late Triassic,,237,201.4,67298,YES,extinct
1421524,occ,,IF,174686,Rhynchosauroides minutipes,species,360013,Late Triassic,,237,201.4,67298,YES,extinct
1421525,occ,,IF,164930,Rhynchosauroides beasleyi,species,360017,Early Triassic,,251.902,246.7,67298,YES,extinct
1421534,occ,,I,197340,Rhynchosauroides rectipes,species,64097,Early Triassic,Middle Triassic,251.902,237,67298,YES,extinct
1421631,occ,,I,197349,Rhynchosauroides rectipes,species,64097,Anisian,,246.7,241.464,67304,YES,extinct
1421634,occ,,IF,52505,Chirotherium barthii,species,85727,Anisian,,246.7,241.464,67305,YES,extinct
1421635,occ,,IF,52505,Chirotherium vorbachi,species,194828,Anisian,,246.7,241.464,67305,YES,extinct
1421636,occ,,IF,164930,Chirotherium vorbachi,species,194828,Early Triassic,,251.902,246.7,67305,YES,extinct
1421637,occ,,IF,197350,Synaptichnium pseudosuchoides,species,302431,Anisian,,246.7,241.464,67305,YES,extinct
1421638,occ,,IF,164930,Isochirotherium bipedale,species,194829,Early Triassic,,251.902,246.7,67305,YES,extinct
1421640,occ,40174,IF,197352,Chirotherium vorbachi,species,194828,Anisian,,246.7,241.464,67305,YES,extinct
1421643,occ,,IF,197350,Chirotherium storetonense,species,194821,Anisian,,246.7,241.464,67305,YES,extinct
1421645,occ,,IF,197353,Chirotherium sickleri,species,249179,Anisian,,246.7,241.464,67305,YES,extinct
